texto,nota,id,data
Tem que ficar com a luz acesa o tempo todo.,4,MLB38061476,05 nov. 2025
Prático e simples de usar. Ótima qualidade de imagem.,5,MLB38061476,07 nov. 2025
Bom.,5,MLB38061476,17 nov. 2025
Muito boa.,5,MLB38061476,21 nov. 2025
Bom.,5,MLB38061476,23 nov. 2025
"São boas, mais tem algumas funções que não conseguimos configurar.",4,MLB38061476,24 nov. 2025
Muito boa.,5,MLB38061476,28 nov. 2025
Excelente.,5,MLB38061476,30 nov. 2025
Muito bom e fácil instalar.,5,MLB38061476,17 ago. 2025
"Show de bola, são muito boas e fácil instalação obrigado !.",5,MLB38061476,29 ago. 2025
,5,MLB38061476,19 out. 2025
"A câmera de segurança é elogiada por sua facilidade de instalação e funcionamento perfeito. Além disso, é considerada uma excelente escolha para monitoramento doméstico.",5,MLB38061476,20 nov. 2025
Muito bom bem lacrado e o preço bom.,5,MLB38061476,01 mai. 2025
Qualidade excelente. Gostei muito!.,5,MLB46629544,23 nov. 2025
"Muito satisfeito, produto de qualidade, cheirinho de couro top rsrsrs. Ótima compra.",5,MLB46629544,03 jul. 2024
,5,MLB46629544,13 jun. 2025
"Parece ser grosso demais para ficar confortavelmente apoiado no pescoço por muito tempo, mas é de boa qualidade.",4,MLB46629544,08 out. 2025
"Ótima qualidade, confortável, um bom custo benefício as alças são de fácil regulagem.",5,MLB46629544,13 out. 2025
,5,MLB46629544,15 dez. 2024
,5,MLB46629544,01 jun. 2024
Amei a alça bem resistente até as argolinhas que vem pra prender acabei me cortando quando fui colocar na câmera então cuidado glr mas de resto ela cumpre o seu papel muito bem.,4,MLB46629544,12 ago. 2025
"O produto é elogiado pela sua qualidade e resistência, com destaque para o couro legítimo e o design estiloso. A alça é confortável e ajustável, sendo considerada um bom custobenefício.",5,MLB46629544,20 nov. 2025
É útil,5,MLB46629544,20 mar. 2024
"Fácil de manusear, muito autointuitva.",5,MLB38046152,20 nov. 2025
Muito bom.,5,MLB38046152,22 nov. 2025
Produto muito bom.,5,MLB38046152,28 nov. 2025
Otimo já vou indicar.,5,MLB38046152,20 set. 2025
"Atende bem ao propósito. Senti falta de um controle remoto, mas ok. Seria melhor se tivesse um.",5,MLB38046152,08 out. 2025
Não usei ainda.,5,MLB38046152,11 out. 2025
,5,MLB38046152,11 out. 2025
,5,MLB38046152,18 out. 2025
Muito bom.,5,MLB38046152,21 out. 2025
Muito bom!.,5,MLB38046152,19 nov. 2025
"Achei um pouco lento, mas ele é bom.",4,MLB38046152,20 nov. 2025
,5,MLB38046152,21 nov. 2025
Maravilhoso.,5,MLB38046152,11 nov. 2025
"O estabilizador é prático e eficaz, cumprindo bem o que promete, especialmente para uso moderado. No geral, atende bem ao propósito e é considerado um bom investimento.",5,MLB38046152,20 nov. 2025
Perfeito.,5,MLB38046152,18 out. 2025
Sensacional essa câmera. Estabilização de imagem muito boa pra gravar videos de bike e o modulo de lente fica perfeito pra gravar videos em 9:16 pega uma boa quantia de imagem. Muito top a camera.,5,MLB40216270,21 nov. 2025
Qualidade 100%.,5,MLB40216270,21 nov. 2025
Incrível! adorei.,5,MLB40216270,22 nov. 2025
,5,MLB40216270,17 out. 2025
,5,MLB40216270,19 nov. 2025
"A câmera é amplamente elogiada pela sua qualidade de imagem e estabilização, sendo considerada a melhor câmera de ação do mercado. Além disso, é vista como um excelente investimento para capturar esportes e atividades ao ar livre, com funcionalidades que agradam tanto iniciantes quanto usuários experientes.",5,MLB40216270,20 nov. 2025
"Minha segunda gopro, comprado pela influência de minha irmã que tem duas, uma versão 3 e outra 4, que fazem imagens fantásticas e dificilmente tem uma diferença visual de imagem e vídeos, exceto pela tecnologia embarcada extrema que as mais novas sao sistematicamente melhores.",5,MLB40216270,11 out. 2025
Ótima qualidade.,5,MLB37772759,10 nov. 2025
Muito boa.,5,MLB37772759,21 nov. 2025
Produto de ótima qualidade.,5,MLB37772759,12 mar. 2025
"Ótimo produto, imagem linda , até agora funcionando perfeitamente, gostei muito.",5,MLB37772759,12 jul. 2025
Muita qualidade.,5,MLB37772759,02 out. 2025
Top muito bom.,5,MLB37772759,17 out. 2025
"Top , vale a pena.",5,MLB37772759,17 out. 2025
Excelente custo benefício.,5,MLB37772759,07 jun. 2024
,5,MLB37772759,29 set. 2025
"Gostei muito. As imagens são muito boas, e até a noite ficam bem nítidas.",5,MLB37772759,21 out. 2025
"Um ótimo custo benefício, para casa deve ficar perfeito. No sítio, não ficou bom a noite, o led aponta somente para o centro, poderia espalhar a luz para os lados. Utilizei um dvr hikvision ""branquinho"".",4,MLB37772759,14 jul. 2025
"A câmera de segurança é elogiada pela qualidade das imagens, que permanecem nítidas mesmo à noite, e pela capacidade de capturar imagens coloridas 24 horas por dia. É considerada uma boa opção em termos de custobenefício, especialmente para uso residencial. Além disso, a abertura de visualização é destacada como um ponto positivo.",5,MLB37772759,20 nov. 2025
Que imagem noturna !!! recomendo muito boa a imagem !!.,5,MLB37772759,19 jul. 2024
Muito bom o material.,5,MLB59598628,05 out. 2025
"Bom , resistência boa!.",4,MLB59598628,10 out. 2025
,5,MLB59598628,27 out. 2025
Bom e dentro da expectativas.,5,MLB59598628,03 nov. 2025
Suporte muito bom.,5,MLB59598628,06 nov. 2025
"Produto bem feito, ótimo custo benefício.",5,MLB59598628,14 nov. 2025
,5,MLB59598628,16 nov. 2025
Produto de ótima qualidade.,5,MLB59598628,19 nov. 2025
,5,MLB59598628,22 ago. 2025
Bom.,5,MLB59598628,26 ago. 2025
"O suporte é elogiado por sua excelente qualidade e praticidade, sendo leve e feito de alumínio. Ele atende bem às necessidades de instalação, oferecendo fixação segura e resistência a condições climáticas adversas.",5,MLB59598628,20 nov. 2025
"Por que avaliei o geral com 4 estrelas e os demais quesitos com 5 estrelas? esse suporte deveria vir com adaptação para colocar a câmera na frente, e não na lateral. Comprei para deixar numa das quinas da parte externa de minha residência, para a câmera girar 270 graus sem ficar filmando paredes. Quando puder, público fotos.",4,MLB59598628,26 jan. 2024
Avaliação 5 de 5,está,MLB59493580,É útil
Avaliação 5 de 5,está,MLB36252720,É útil
Gostei muito bom.,5,MLB32350720,09 ago. 2025
"Simplesmente maravilhosa, ainda preciso a aprender um pouco sobre ela pois tem bastante opção util.",5,MLB41490294,30 set. 2025
Muito bom.,5,MLB41490294,07 out. 2025
Recomendo.,5,MLB41490294,08 out. 2025
,5,MLB41490294,02 jul. 2025
,5,MLB41490294,25 out. 2025
Produto excelente recomendo. Imagem ótima de alta qualidade.,5,MLB41490294,06 nov. 2025
,5,MLB41490294,15 set. 2025
Avaliação 5 de 5,das,MLB41490294,É útil
Excelente como tudo da dji. Cliente excelente tb.,5,MLB52129715,15 set. 2025
"A câmera de segurança é elogiada por sua boa qualidade de imagem, fácil instalação e custobenefício, sendo recomendada por muitos. No entanto, há críticas significativas sobre problemas de conexão, durabilidade e dificuldades com o aplicativo, além de falhas no funcionamento após pouco tempo de uso. A experiência geral é mista, com muitos usuários satisfeitos, mas também com várias reclamações sobre a confiabilidade do produto.",5,MLB61499171,20 nov. 2025
"Pelo custo benefício o valor é bom e o produto atende bem, porém pra configurar tem que assistir vídeos no youtube, porque o manual vem em outro idioma, não está em portugues. Só isso que não gostei, e outra coisa que não tinha me atentado é o fato de ser rosqueada em soquete de energia, se alguém quiser roubar é só retirar como retira uma lâmpada e já era sua câmera, o ideal é ser instalado em ambiente interno para não ser roubada.",5,MLB61499171,09 jan. 2024
Produto excelente. De acordo com o esperado.,5,MLB59735250,11 out. 2025
Excelente.,5,MLB59735250,22 out. 2025
Vou usar pela primeiro vês.,5,MLB37910440,16 ago. 2025
"Comprei, e testei. Subi a serra rio do rastro, e a filmagem saiu muito boa. Coloquei em cima do meu capacete. Custo benefício aprovado. Não deixou nada a desejar a uma gopro. Até para passar para o celular, é fácil e rapido.",5,MLB37910440,23 ago. 2025
Quebra o galho.,4,MLB37910440,10 set. 2025
Muito bom.,5,MLB37910440,30 set. 2025
"Bom para um produto de entrada, não espere imagens 100% nitidas, mas iniciar na gravação de vídeos em movimento (bicicleta, moto, etc) atende pelo valor.",4,MLB37910440,15 out. 2025
"Ótima , só e meio embaçado pra baixar os vídeos pro cll , mas de resto e top.",5,MLB37910440,27 out. 2025
Excelente câmera tem uma qualidade de filmagem que eu não esperava um ângulo de filmagem grande principalmente para distância curtas realmente e o que nessesitava distância curtas mas imagens ampla.,5,MLB37910440,04 nov. 2025
"As imagens são horriveis , qualidade ruim.",1,MLB37910440,10 nov. 2025
Avaliação 1 de 5,enganoso.,MLB37910440,É útil
Vou usar pela primeiro vês.,5,MLB37858034,16 ago. 2025
"Comprei, e testei. Subi a serra rio do rastro, e a filmagem saiu muito boa. Coloquei em cima do meu capacete. Custo benefício aprovado. Não deixou nada a desejar a uma gopro. Até para passar para o celular, é fácil e rapido.",5,MLB37858034,23 ago. 2025
Quebra o galho.,4,MLB37858034,10 set. 2025
Muito bom.,5,MLB37858034,30 set. 2025
"Bom para um produto de entrada, não espere imagens 100% nitidas, mas iniciar na gravação de vídeos em movimento (bicicleta, moto, etc) atende pelo valor.",4,MLB37858034,15 out. 2025
"Ótima , só e meio embaçado pra baixar os vídeos pro cll , mas de resto e top.",5,MLB37858034,27 out. 2025
Excelente câmera tem uma qualidade de filmagem que eu não esperava um ângulo de filmagem grande principalmente para distância curtas realmente e o que nessesitava distância curtas mas imagens ampla.,5,MLB37858034,04 nov. 2025
"As imagens são horriveis , qualidade ruim.",1,MLB37858034,10 nov. 2025
Avaliação 1 de 5,enganoso.,MLB37858034,É útil
Vou usar pela primeiro vês.,5,MLB37909371,16 ago. 2025
"Comprei, e testei. Subi a serra rio do rastro, e a filmagem saiu muito boa. Coloquei em cima do meu capacete. Custo benefício aprovado. Não deixou nada a desejar a uma gopro. Até para passar para o celular, é fácil e rapido.",5,MLB37909371,23 ago. 2025
Quebra o galho.,4,MLB37909371,10 set. 2025
Muito bom.,5,MLB37909371,30 set. 2025
"Bom para um produto de entrada, não espere imagens 100% nitidas, mas iniciar na gravação de vídeos em movimento (bicicleta, moto, etc) atende pelo valor.",4,MLB37909371,15 out. 2025
"Ótima , só e meio embaçado pra baixar os vídeos pro cll , mas de resto e top.",5,MLB37909371,27 out. 2025
Excelente câmera tem uma qualidade de filmagem que eu não esperava um ângulo de filmagem grande principalmente para distância curtas realmente e o que nessesitava distância curtas mas imagens ampla.,5,MLB37909371,04 nov. 2025
"As imagens são horriveis , qualidade ruim.",1,MLB37909371,10 nov. 2025
Avaliação 1 de 5,enganoso.,MLB37909371,É útil
Muito bom.,5,MLB40803532,27 out. 2025
"A câmera é elogiada por cumprir sua função e oferecer boa qualidade de imagem pelo preço, sendo especialmente apreciada para gravações subaquáticas.",5,MLB37862424,20 nov. 2025
Terrível o produto. Grava 2 a 4 minutos no máximo e trava a gravação não conseguindo reproduzir mais. Qualidade da imagem não chega nem a ser vga e anunciam como 4k. Nota zero pro produto.,1,MLB37862424,06 abr. 2023
Avaliação 5 de 5,é,MLB59502458,É útil
Vou usar pela primeiro vês.,5,MLB37909894,16 ago. 2025
"Comprei, e testei. Subi a serra rio do rastro, e a filmagem saiu muito boa. Coloquei em cima do meu capacete. Custo benefício aprovado. Não deixou nada a desejar a uma gopro. Até para passar para o celular, é fácil e rapido.",5,MLB37909894,23 ago. 2025
Quebra o galho.,4,MLB37909894,10 set. 2025
