pergunta,resposta,id,data
Qual a altura do bebedouro,"Boa noite. A altura do bebedouro é de 41 cm. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,28/11/2025
Esse bebedouro possui filtro?,"Boa tarde. Não, esse bebedouro não possui filtro. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,28/11/2025
Tem fura galão,"Bom dia. Sim, o bebedouro Veronna BE200 possui um sistema perfurador que facilita a troca do galão sem necessidade de retirar o lacre. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,18/11/2025
Placa ou comprensor?,"Boa tarde. Este bebedouro utiliza placa para seu funcionamento. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,08/11/2025
"Boa tarde, gela a água ou só refrigera","Boa tarde. A Veronna BE200 gela a água, oferecendo duas opções de temperatura: natural e gelada. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,04/11/2025
Vcs vende o suporte?,"Opa, Bom dia SOVI2123999. Infelizmente não possuímos o suporte para venda. Qualquer dúvida, estou à disposição. Atenciosamente, Acauã Ismafer Ferramentas.",MLB15162389,04/11/2025
GUATAS BES,"Opa, Boa tarde AHILISJOAO20230624230809. Poderia me explicar em maiores detalhes para que possa lhe auxiliar da melhor forma possivel? Aguardo o retorno. Atenciosamente, Acauã Ismafer Ferramentas.",MLB15162389,23/10/2025
Ele e 220?,"Bom dia. Sim, o bebedouro Veronna BE200 é bivolt automático, funcionando em 127V e 220V. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,21/10/2025
Preciso falar com o vendedor,"Boa noite. Se precisar de auxilio com a assistência técnica ou desejar falar com o vendedor, basta contatar pelos canais de atendimento que estão disponíveis. Atenciosamente, Inteligência Artificial da ISMAFER FERRAMENTAS!",MLB15162389,20/10/2025
Serve na utilização de garrafas de 5 litros como da marca cristal vendida nos supermercados?,"Olá, bom dia! Não serve, pois o tamanho do bocal desse produto é menor e curto que os galões convencionais de água. Atenciosamente, Keni Global",MLB34286694,06/10/2025
Existe a garantia de não vazar a bateria de lítio na água?,"Olá, bom dia! A bateria fica protegida e isolada, mas como todo eletrônico não deve ser submerso. O uso correto conforme orientações do fabricante garante uma maior segurança. Atenciosamente, Keni Global",MLB34286694,08/09/2025
Olá. Vem exatamente a da foto? Comprei uma de outro vendedor e o bico era fixo e na foto mostrava móvel.,"Olá, bom dia! Sim, o produto é o mesmo da foto do anúncio. Com bico dobrável. Atenciosamente, Keni Global",MLB34286694,01/09/2025
"Bom dia, quantos litros por minuto ele faz?","Olá, Não temos como responder com precisão a vazão por minuto, pois varia conforme a carga da bateria no momento do uso. Em média com a bateria em seu nível mais cheio, ela tem uma vazão de 1,5l por minuto. Atenciosamente, Keni Global",MLB34286694,01/09/2025
Ola boa tarde o meu chegou sem o carregador veio apenas o cabo USB? o carregador é a parte? Obrigado,"Olá boa tarde! Sim, o produto é acompanhado apenas do cabo USB. A fonte do carregador não acompanha, pode ser usado o mesmo do celular. Ficamos à disposição. Atenciosamente, Keni Global",MLB34286694,22/08/2025
A bomba funciona quando a bateria está carregando?,"Olá, boa noite! Não, por questões de segurança, conforme o fabricante, a bomba não opera enquanto estiver conectada na tomada. Atenciosamente, Keni Global",MLB34286694,18/08/2025
"Bom dia,preciso urgente pra hoje","Olá, boa noite. O prazo de entrega é gerado automaticamete pela plataforma de acordo com a sua localidade. Atenciosamente, Keni Global",MLB34286694,30/07/2025
O usb é tipo c?,"Olá, Boa tarde! Sim.",MLB34286694,21/07/2025
"Fiz a compra, mas desejo trocar a cor branca por uma de cor preta","Olá boa noite! A compra foi feita neste momento? Se sim, solicite o cancelamento por desistência. Assim, o valor será devolvido e você poderá efetuar nova compra escolhendo a cor desejada. Pelo fato de nosso estoque estar no centro de distribuição do mercado livre não conseguimos solicitar a troca de cor, somente via cancelamento e novo pedido. Ficamos à disposição. Atenciosamente, Keni Global",MLB34286694,06/07/2025
"Boa noite, Qual a durabilidade da bomba para que necessite nova carga? Obrigado","Olá, boa noite! A durabilidade da bateria da bomba antes de precisar de uma nova carga varia muito conforme a intensidade do seu uso. Para usos esporádicos, como por exemplo, para abastecer jarras de litro, a durabilidade pode chegar a 20 dias sem necessidade de nova carga. Se precisar de mais informações sobre o produto, estamos à disposição para ajudar! Atenciosamente, Keni Global",MLB34286694,02/06/2025
"Se eu colocar 500ml no fluxo continuo, ele vai marcar no display a quantidade dosada ?","Olá, boa noite! O visor mostra apenas as medidas de 200ml, 600ml ou 800ml para o botão quantitativo de engrenagem. Porém no botão de fluxo contínuo o visor não marca a dosagem de volume. Ficamos à disposição. Atenciosamente, Keni Global",MLB34286694,05/05/2025
No pix tem desconto?,Boa noite senhora Rosângela. Os meios de pagamento da plataforma. Não oferece descontos nessa modalidade. Os preços sugeridos são a vista. Com parcelamentos. Sem acréscimo. Att Ricardo.,MLB50140151,16/10/2025
Você tem com compressor todo prata ou preto com prata? Se tiver pode me enviar o link? Obrigada.,bom dia Sra Alessandra https://produto.mercadolivre.com.br/MLB-5414829234-suporte-galo-agua-gelada-br355-compressor-prata-_JM https://produto.mercadolivre.com.br/MLB-5440107006-purificador-agua-gelada-pa355-compressor-preto-e-prata-_JM att Ricardo,MLB50140151,08/10/2025
Ola. Ele e todo branco ou branco com prata?,"Boa noite Alessandra, esse é todo branco, apenas a tampa e os detalhes é fume claro.Att,Michelly",MLB50140151,07/10/2025
Quantos kg cada Dispenser?,Olá KOSSMANNVALDIR20210817024605 tudo bem! O equivalente a 15kg cada galão. Agradecemos seu contato e agurdamos sua compra.,MLB19860442,15/10/2025
"Vcs vendem somente esse suporte para reposição, separado.?",Olá VAGNEDEASSISLIMA tudo bem! Não temos a venda. Agradecemos seu contato e agurdamos sua compra.,MLB19860442,22/08/2025
manda o link pra min do de 40 litros e 45 litros,Olá GILPEREIRAPENHA tudo bem! Veja o link... https://produto.mercadolivre.com.br/MLB-2759410974-organizador-dispenser-de-raco-feijo-amendoim-10x45-litros-_JM ... Esse é o de 45litros Agora esse é de 40 litros... https://produto.mercadolivre.com.br/MLB-5073101198-organizador-dispenser-de-raco-milho-soja-castanha-amendoim-_JM Agradecemos seu contato e agurdamos sua compra.,MLB19860442,29/07/2025
vcs tem ele de 10x40 litros ou 10x45 litros,"Olá GILPEREIRAPENHA tudo bem! No momento desse modelo não temos, teremos de outro modelo, tanto o de 40l como de 45l. Agradecemos seu contato e agurdamos sua compra.",MLB19860442,29/07/2025
Teria de 12 módulos.,Olá DAVIDDC2013 tudo bem! No momento não temos. Agradecemos seu contato e agurdamos sua compra.,MLB19860442,28/07/2025
"Boa tarde ,ele vem desmontado?vcs entregam para Manaus?","Olá LIJO9297909 tudo bem! Sim, ele vai desmontado, na lateral do pacote tem um QR Code, que você consegue visualizar instruções de montagem. Sim, enviamos para o Brasil inteiro. Agradecemos seu contato e agurdamos sua compra.",MLB19860442,22/07/2025
Quantos kg cabem em casa Dispenser?posso comprar só um módulo com 6?,"Olá DAMINDASILVALEILA tudo bem! Cabe 15 kg em cada galão, no momento não temos com 6 unidades, chega hoje a tarde, amanhã o anuncio estará disponível. Agradecemos seu contato e agurdamos sua compra.",MLB19860442,10/07/2025
"Bom dia, consegue algum desconto para compra de 8 unidades ?","Olá ROB_SANTOSBARRETO tudo bem! Esse produto já está com limite máximo de desconto até amanhã. Não compre unidades juntas para não danificar no tranposte, compre tudo separado. Agradecemos seu contato e agurdamos sua compra.",MLB19860442,25/06/2025
"Oi, teria como vocês vender o dispenser de 40l da durapets ?","Olá VANIERE.SANTOS tudo bem! Durapets não tem de 40 litros, só de 35. Agradecemos seu contato e agurdamos sua compra.",MLB19860442,31/05/2025
